state_id,page_id,state_name,description,implementation_version,visual_reference,automation,release_blocking
HOME-002-S06,HOME-002,离线缓存结果,只显示本地可匹配缓存,V1.1.0,visual/states/HOME-002-S06.png,STATE_OR_COMPONENT_TEST,NO
HOME-002-S07,HOME-002,搜索失败,重试,V1.1.0,visual/states/HOME-002-S07.png,STATE_OR_COMPONENT_TEST,NO
HOME-003-S01,HOME-003,分类列表,全部分类和当前选择,V1.1.0,visual/states/HOME-003-S01.png,EMULATOR_VISUAL_SMOKE,YES
HOME-003-S02,HOME-003,选中分类,高亮并允许确认,V1.1.0,visual/states/HOME-003-S02.png,STATE_OR_COMPONENT_TEST,NO
HOME-003-S03,HOME-003,无可用分类,只保留全部,V1.1.0,visual/states/HOME-003-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-003-S04,HOME-003,分类加载失败,使用缓存或重试,V1.1.0,visual/states/HOME-003-S04.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S01,HOME-004,详情加载,图片与正文骨架,V1.1.0,visual/states/HOME-004-S01.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S02,HOME-004,公开项目详情,published 项目完整内容,V1.1.0,visual/states/HOME-004-S02.png,EMULATOR_VISUAL_SMOKE,YES
HOME-004-S06,HOME-004,离线缓存详情,联系方式动作按安全策略限制,V1.1.0,visual/states/HOME-004-S06.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S07,HOME-004,图片加载失败,占位图但正文可用,V1.1.0,visual/states/HOME-004-S07.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S08,HOME-004,项目不存在,返回首页,V1.1.0,visual/states/HOME-004-S08.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S09,HOME-004,项目不可公开,非本人访问未发布项目,V1.1.0,visual/states/HOME-004-S09.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S10,HOME-004,详情网络错误,重试,V1.1.0,visual/states/HOME-004-S10.png,STATE_OR_COMPONENT_TEST,NO
HOME-004-S11,HOME-004,详情服务异常,请求编号和重试,V1.1.0,visual/states/HOME-004-S11.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-001-S01,HOME-OV-001,图片正常,当前图片和页码,V1.1.0,visual/states/HOME-OV-001-S01.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-001-S02,HOME-OV-001,缩放查看,双指缩放和拖动,V1.1.0,visual/states/HOME-OV-001-S02.png,EMULATOR_VISUAL_SMOKE,YES
HOME-OV-001-S03,HOME-OV-001,单图加载失败,重试或切换下一张,V1.1.0,visual/states/HOME-OV-001-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S01,HOME-OV-002,手机号操作,复制或拨打,V1.1.0,visual/states/HOME-OV-002-S01.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S02,HOME-OV-002,微信操作,复制微信号或尝试打开微信,V1.1.0,visual/states/HOME-OV-002-S02.png,EMULATOR_VISUAL_SMOKE,YES
HOME-OV-002-S03,HOME-OV-002,QQ 操作,复制 QQ 或尝试打开,V1.1.0,visual/states/HOME-OV-002-S03.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S04,HOME-OV-002,网址操作,受控 Custom Tabs,V1.1.0,visual/states/HOME-OV-002-S04.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S05,HOME-OV-002,外链确认,显示目标域名,V1.1.0,visual/states/HOME-OV-002-S05.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S06,HOME-OV-002,应用未安装,浏览器或复制回退,V1.1.0,visual/states/HOME-OV-002-S06.png,STATE_OR_COMPONENT_TEST,NO
HOME-OV-002-S07,HOME-OV-002,无效目标,阻断并记录,V1.1.0,visual/states/HOME-OV-002-S07.png,STATE_OR_COMPONENT_TEST,NO
