state_id,page_id,implementation_version,state_name,batch_id,status,notes
ME-012-S01,ME-012,V1.3.0,关于信息,B33,IMPLEMENTED_VERIFIED,最终 APK 真机显示 1.3.0-beta.1、versionCode 10301 和 applicationId。
ME-012-S02,ME-012,V1.4.0,检查更新,B42,NOT_IMPLEMENTED,关于页请求时不显示检查进度。
ME-012-S03,ME-012,V1.4.0,已是最新版,B42,NOT_IMPLEMENTED,关于页未比较已安装与服务端版本，无“已是最新版本”结果。
ME-012-S04,ME-012,V1.4.0,发现更新,B42,NOT_IMPLEMENTED,关于页发现新版本后无进入更新详情页的路由。
ME-012-S05,ME-012,V1.4.0,检查失败,B42,NEEDS_ADJUSTMENT,已有同页面/UI State 雏形，但尚需按效果图调整并完成合同、服务器和真机验收。
SYS-001-S05,SYS-001,V1.4.0,发现可选更新,B40,NEEDS_ADJUSTMENT,已有启动版本/维护判定雏形，但尚未完成合同视觉与真机证据。
SYS-001-S06,SYS-001,V1.4.0,发现强制更新,B40,NEEDS_ADJUSTMENT,已有启动版本/维护判定雏形，但尚未完成合同视觉与真机证据。
SYS-001-S07,SYS-001,V1.4.0,维护模式,B40,NEEDS_ADJUSTMENT,已有启动版本/维护判定雏形，但尚未完成合同视觉与真机证据。
SYS-002-S01,SYS-002,V1.4.0,系统维护,B42,NEEDS_ADJUSTMENT,已有启动版本/维护判定雏形，但尚未完成合同视觉与真机证据。
SYS-002-S05,SYS-002,V1.4.0,服务已恢复,B42,NOT_IMPLEMENTED,SystemFeedbackState 无服务已恢复状态及返回安全页逻辑。
SYS-003-S01,SYS-003,V1.4.0,检查版本,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S02,SYS-003,V1.4.0,已是最新版,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S03,SYS-003,V1.4.0,可选更新可用,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S04,SYS-003,V1.4.0,强制更新可用,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S05,SYS-003,V1.4.0,正在下载,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S06,SYS-003,V1.4.0,下载失败,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S07,SYS-003,V1.4.0,等待安装,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-003-S08,SYS-003,V1.4.0,安装受阻,B41,NEEDS_ADJUSTMENT,已有更新下载/SHA-256/FileProvider 主流程，但页面状态、安全边界和视觉仍需收口。
SYS-OV-001-S01,SYS-OV-001,V1.4.0,可选更新,B40,NOT_IMPLEMENTED,可选更新当前为整页 SystemFeedbackScreen，无合同弹层。
SYS-OV-001-S02,SYS-OV-001,V1.4.0,下载中,B40,NOT_IMPLEMENTED,可选更新无下载中弹层状态。
SYS-OV-001-S03,SYS-OV-001,V1.4.0,下载失败,B40,NOT_IMPLEMENTED,可选更新无下载失败弹层状态。
SYS-OV-002-S01,SYS-OV-002,V1.4.0,强制更新,B40,NOT_IMPLEMENTED,强制更新当前为整页 SystemFeedbackScreen，无不可关闭合同弹层。
SYS-OV-002-S02,SYS-OV-002,V1.4.0,强制更新下载中,B40,NOT_IMPLEMENTED,强制更新无下载中弹层状态。
SYS-OV-002-S03,SYS-OV-002,V1.4.0,强制更新失败,B40,NOT_IMPLEMENTED,强制更新无下载失败与客服入口弹层。
