page_id,page_name,introduced_in,layout_profile,top_bar_height_dp,bottom_nav_height_dp,horizontal_padding_dp,section_gap_dp,card_radius_dp,input_height_dp,primary_button_height_dp,minimum_touch_dp,page_title_token,body_token,caption_token,dominant_region,identity_signature,specific_rules,forbidden_guessing
HOME-002,项目搜索,V1.1.0,SEARCH,56,none,16,20,16,N/A,48,48,page_title,body,caption,search_results,搜索输入+结果统计+项目列表,不在一期保存个人搜索历史,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
HOME-003,项目分类筛选,V1.1.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,分类列表+当前选中+确认/重置,分类排序和可见性由后台控制,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
HOME-004,项目详情,V1.0.0,DETAIL,56,none,16,20,16,N/A,48,48,page_title,body,caption,project_hero_and_full_content,项目图片+标题简介+发布者+联系方式+底部操作,公开详情不显示完整手机号作为用户名,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
HOME-OV-001,项目图片查看器,V1.1.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,沉浸式图片+页码+缩放+关闭,不提供未规划的保存到相册按钮,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
HOME-OV-002,联系方式操作面板,V1.1.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,联系方式类型+脱敏/完整值+复制/拨打/打开,根据 contact_type 白名单显示动作,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-001,发布项目,V1.2.0,FORM,56,none_or_root_publish,16,20,16,48,48,48,page_title,body,caption,project_form,标题+简介+分类+多图+联系方式+协议+提交,底部发布导航在 V1.0/V1.1 显示阶段弹窗，V1.2 起进入本页,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-002,图片排序与封面,V1.2.0,FORM,56,none_or_root_publish,16,20,16,48,48,48,page_title,body,caption,project_form,可拖动图片网格+封面标识+完成,图片数量和大小同时由客户端及服务端校验,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-003,发布提交结果,V1.2.0,RESULT,56,none,24,20,16,N/A,48,48,page_title,body,caption,centered_result,结果插图+审核状态+查看/继续发布,结果必须来自服务端真实状态,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-004,编辑项目,V1.2.0,FORM,56,none_or_root_publish,16,20,16,48,48,48,page_title,body,caption,project_form,已有内容表单+审核提示+保存,编辑 published 项目默认重新进入审核,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-OV-001,删除图片确认,V1.2.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,缩略图+删除说明+取消/删除,删除未绑定项目的上传资产也需服务端鉴权,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-OV-002,未保存退出确认,V1.2.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,未保存说明+继续编辑/放弃,只在表单有变化时出现,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
PUB-OV-003,联系方式类型选择,V1.2.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,手机/微信/QQ/网址等后台允许类型,禁止客户端自行出现未配置类型,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-001,我的,V1.0.0,ROOT_PROFILE,brand_header,64,16,20,16,N/A,48,48,page_title,body,caption,profile_card_member_wallet_tools,资料卡+双账户+会员卡+道具+常用功能+底部导航,V1.0 提供基础资料；V1.3 完成全部展示区,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-002,我的发布,V1.2.0,LIST,56,none,16,20,16,N/A,48,48,page_title,body,caption,status_tabs_and_list,状态标签页+本人项目列表+项目操作,只能操作本人项目,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-003,个人资料只读页,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,头像+昵称+UID+脱敏手机号+注册时间,编辑资料本期不做，必须明确只读,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-004,会员中心展示,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,会员卡+权益说明+状态+有效期,不实现在线支付、折扣或返佣结算,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-005,账户余额展示,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,佣金账户+任务账户+只读说明,余额默认 0.00；不实现流水、提现或转账,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-006,道具中心展示,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,刷新卡/超级头条/头条/变色卡展示,不实现购买、库存或使用,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-007,浏览记录占位,V1.3.0,PLACEHOLDER,56,none,24,20,16,N/A,48,48,page_title,body,caption,explicit_scope_placeholder,功能图标+范围说明+返回,本期明确不建立历史记录业务,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-008,收藏占位,V1.3.0,PLACEHOLDER,56,none,24,20,16,N/A,48,48,page_title,body,caption,explicit_scope_placeholder,功能图标+范围说明+返回,本期明确不建立收藏业务,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-009,实名认证占位,V1.3.0,PLACEHOLDER,56,none,24,20,16,N/A,48,48,page_title,body,caption,explicit_scope_placeholder,安全图标+未开放说明+返回,本期不采集身份信息,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-010,联系客服,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,客服说明+联系方式+复制/外部打开,配置来自后台且受白名单控制,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-011,设置,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,清理缓存+协议+隐私+关于+退出登录,不得放置未实现的通用设置开关,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-012,关于商推客,V1.3.0,STANDARD,56,none,16,20,16,N/A,48,48,page_title,body,caption,standard_content,Logo+版本号+更新检查+备案/版权信息,更新动作在 V1.4 接入真实版本服务,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-OV-001,退出登录确认,V1.0.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,退出说明+取消/确认退出,服务端撤销刷新令牌，客户端清理敏感数据,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
ME-OV-002,本人项目操作面板,V1.2.0,OVERLAY,parent,parent,0,20,20,N/A,48,48,page_title,body,caption,dialog_or_bottom_sheet,查看/编辑/下架/重提/删除按状态显示,操作项由项目状态机白名单决定,禁止从效果图估算或页面内硬编码数值；必须引用 STK-DS-1.0
