interaction_id,page_id,name,action,target,api_operation_id,implementation_version,test_level,version_close_required,expected_result
INT-REG-003,AUTH-002,输入确认密码,再次输入密码,确认密码字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-004,AUTH-002,切换密码可见性,点击眼睛图标,密码可见性,LOCAL_UI_STATE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-005,AUTH-002,同意用户协议,点击勾选,协议状态,LOCAL_UI_STATE,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-006,AUTH-002,提交注册,点击注册,先打开安全验证码,registerUser,V1.0.0,EMULATOR_E2E_SMOKE,YES,不发送短信；创建 Discuz UID、手机号绑定、会员基础记录和双账户记录
INT-REG-007,AUTH-002,返回登录,点击已有账号登录,stk://auth/login,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-008,AUTH-002,注册页打开协议,点击用户协议,stk://legal/user-agreement,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-REG-009,AUTH-002,注册页打开隐私政策,点击隐私政策,stk://legal/privacy-policy,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-LEGAL-001,AUTH-004,用户协议返回,点击返回,上一页,LOCAL_BACK,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-LEGAL-002,AUTH-004,重试加载用户协议,点击重试,协议服务,getLegalDocument,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-LEGAL-003,AUTH-005,隐私政策返回,点击返回,上一页,LOCAL_BACK,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-LEGAL-004,AUTH-005,重试加载隐私政策,点击重试,协议服务,getLegalDocument,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-CAPTCHA-001,AUTH-OV-001,输入安全验证码,输入验证码,验证码字段,LOCAL_VALIDATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-CAPTCHA-002,AUTH-OV-001,刷新安全验证码,点击刷新,新 challenge,getCaptchaChallenge,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-CAPTCHA-003,AUTH-OV-001,确认安全验证码,点击确认,一次性 ticket,verifyCaptcha,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-CAPTCHA-004,AUTH-OV-001,取消安全验证码,点击取消,关闭弹窗,LOCAL_DISMISS,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-RISK-001,AUTH-OV-002,关闭风控提示,点击我知道了,关闭弹窗,LOCAL_DISMISS,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-HOME-008,HOME-001,顶部头像进入我的,点击头像,stk://me,LOCAL_NAVIGATION,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-ME-011,ME-001,我的页面重试,点击重试,资料摘要,getMySummary,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
INT-LOGOUT-001,ME-OV-001,确认退出登录,点击退出,撤销令牌并清理本地,logout,V1.0.0,EMULATOR_E2E_SMOKE,YES,产生合同规定的唯一结果
INT-LOGOUT-002,ME-OV-001,取消退出登录,点击取消,关闭弹层,LOCAL_DISMISS,V1.0.0,GROUPED_COMPOSE_UI,YES,产生合同规定的唯一结果
